name,author,narrator,time,releasedate,language,stars,price
PJ Masks - Héroes en Pijamas - ¡Los lobeznos!,"e One, Nicolás Olucha Sánchez-traductor",Kevin Calderón,10,2022-01-24,Spanish,4.46,38
PJ Masks - Potència PJ!,"e One, Ana C.Alcaina Perez-traductor",Roger Serradell,33,2022-01-24,Catalan,4.46,38
PJ Masks - Preparats per a l’acció!,"e One, Ana C.Alcaina Perez-traductor",Roger Serradell,12,2022-01-24,Catalan,4.46,38
"Mortel un jour, Mortel toujours!",Mr Tan,Dorothée Pousseo,65,2022-01-25,French,4.46,529
Pyjamasankarit - 3 minuutin iltasatuja,"e One, Kimmo Lilja",Valtteri Lehtinen,36,2022-01-21,Finnish,4.46,32
PJ Masks - Vet aquí en Robot PJ!,"e One, Ana C.Alcaina Perez-traductor",Roger Serradell,9,2022-01-24,Catalan,4.46,38
PJ Masks - PJ Robot,"e One, Nicolás Olucha Sánchez-traductor",Roger Serradell,9,2022-01-24,Spanish,4.46,38
Le géant de pierre,Bertrand Fichou,Clotilde Donna,7,2022-01-25,French,4.46,189
Pyjamasankarit - Nousu taikavuorelle,"e One, Kimmo Lilja",Valtteri Lehtinen,11,2022-01-21,Finnish,4.46,32
PJ Masks - Héroes en Pijamas - Catboy y el gran rescate de la torta de cumpleaños,"e One, Nicolás Olucha Sánchez-traductor",Kevin Calderón,7,2022-01-24,Spanish,4.46,38
Tijl en de tijdbom,Lara Reims,Ruben Brinkman,305,2022-01-21,Dutch,4.46,233
Genius Camp,Chris Grabenstein,Kirby Heyborne,373,2021-11-30,English,4.46,904
The Talisman of Lostland,A.M.Luzzader,Jennifer Jill Araya,338,2021-11-23,English,4.46,469
Star Wars: The High Republic: A Test of Courage,Justina Ireland,Keylor Leigh,274,2021-05-01,English,4.0,754
The Secret Explorers and the Plant Poachers,SJKing,Aysha Kala,74,2021-07-10,English,4.46,410
The Red Slippers,Carolyn Keene,Jorjeana Marie,173,2015-12-24,English,5.0,305
Captain Underpants and the Preposterous Plight of the Purple Potty People,Dav Pilkey,"Len Forgione, Winston Bromhead, I'ke Mitchell",75,2021-01-19,English,5.0,258
The Magician's Secret,Carolyn Keene,Jorjeana Marie,162,2015-12-24,English,4.5,305
The Case of the Bizarre Bouquets,Nancy Springer,Katherine Kellgren,219,2008-11-04,English,4.5,609
Shockwave,Wilbur Smith,Elliot Chapman,356,2022-03-17,English,4.46,"1,328"
The Phantom of Nantucket,Carolyn Keene,Jorjeana Marie,196,2015-12-24,English,5.0,305
The Swamp Robber,Paul Hutchens,Aimee Lilly,164,2018-09-18,English,5.0,234
The Magic Finger,Roald Dahl,Kate Winslet,26,2014-11-09,English,4.5,615
The Adventures of Captain Underpants,Dav Pilkey,"Len Forgione, Dazjon Freeman, Ben D'Amico",1,2018-05-22,English,4.5,258
Secret at Mystic Lake,Carolyn Keene,Jorjeana Marie,156,2015-09-28,English,4.5,305
Fight for Dusty Divot,Devin Hunter,Ramonde Ocampo,129,2019-08-01,English,4.46,585
"I Survived the Sinking of the Titanic, 1912",Lauren Tarshis,Lauren Fortgang,76,2016-03-29,English,5.0,187
Showdown at Widow Creek,Franklin W.Dixon,Tim Gregory,166,2016-02-02,English,5.0,305
Case of the Missing Marquess,Nancy Springer,Katherine Kellgren,271,2008-10-22,English,4.5,726
Nightshade,Anthony Horowitz,Rupert Degas,607,2020-05-28,English,4.5,645
Mystery of the Phantom Heist,Franklin W.Dixon,Tim Gregory,179,2015-02-11,English,5.0,305
Mousse à l'école des pirates,Elise Rengot,Jean-Paul Bibé,6,2022-02-15,French,4.46,151
Riding Home Through Asia,Alastair Humphreys,Alastair Humphreys,148,2022-11-02,English,4.46,569
The Boy Who Biked the World: Riding the Americas,Alastair Humphreys,Alastair Humphreys,143,2022-11-02,English,4.46,569
El Misterio de la Montaña Azul,"Mattel, Raquel Luque Benítez-traductor",Germán Gijón,18,2022-02-14,Spanish,4.46,115
Grand-mère Sucre et Grand-père Chocolat,Gigi Bigot,Gigi Bigot,4,2022-11-02,French,4.46,149
La chambre des pirates,Valérie Cros,ChloéCardinaud,3,2022-09-02,French,4.46,149
Tapator le dinosaure,Lessoeurs Branchë,Natacha Fabry,5,2022-09-02,French,4.46,149
Une pomme pour deux,Véronique Massenot,Martial Le Minoux,2,2022-10-02,French,4.46,149
Roméo et Biquette,Fabienne Teyssèdre,Olivier Clément,6,2022-09-02,French,4.46,149
Bienvenue chez Vampirette,Ségolène Valente,Stéphanie Hédin,18,2022-10-02,French,4.46,263
"Toc, toc ! Qui est là ?",Lessoeurs Branchë,Olivier Clément,3,2022-09-02,French,4.46,149
Un poisson nommé Marina,Mathilde Lossel,Natacha Fabry,6,2022-09-02,French,4.46,149
Du lait pour mon chat,Pascale Chenel,Vanessa Parachou,3,2022-10-02,French,4.46,149
Le grand voyage de Nils Holgersson,Catherinede Lasa,Patrice Baudrier,8,2022-10-02,French,4.46,187
Qui veut jouer avec Renard ?,Lessoeurs Branchë,Jean-Paul Bibé,3,2022-09-02,French,4.46,149
Le petit roi Moi Moi Moi !,Jean Leroy,Martial Le Minoux,2,2022-10-02,French,4.46,149
Pas de lunettes sur ma tête !,Myriam Doinet,Anne Lehmann,6,2022-09-02,French,4.46,149
Penny Berry y la batalla de Cairngorms,Lluis Prats,Arantxade Sarabia,422,2022-09-02,Spanish,4.46,307
Marvel - Tillbaka till urtiden,Marvel,Benjamin Hagberg,7,2022-08-02,Swedish,4.46,32
Thor - Begynnelsen - Fin Fang Fooms uppgång och fall!,"Marvel, Camilla Dunér",Benjamin Hagberg,14,2022-08-02,Swedish,4.46,32
Black Panther - Kampen om Wakanda,"Marvel, Cato Vandrare",Benjamin Hagberg,61,2022-08-02,Swedish,4.46,65
Ali Baba and the Forty Thieves,BKFKStudio,Grant Swanby,16,2022-08-02,English,4.46,116
